UNK	0
PAD	0
的	50093
，	42733
。	29722
我	19309
是	16043
人	14693
不	14480
一	12854
有	11935
们	11884
了	9628
在	9527
这	8605
烟	7241
以	7206
个	7200
为	6825
对	6464
生	6216
也	6106
来	6067
会	5940
他	5849
时	5622
好	5338
很	5283
到	5132
子	5004
要	5001
吸	4720
学	4710
多	4576
可	4510
所	4495
能	4275
家	4275
自	4232
大	4211
上	4185
而	4116
就	4112
和	3996
母	3896
父	3879
说	3859
样	3767
国	3662
得	3654
因	3593
想	3578
孩	3554
中	3521
但	3414
都	3380
方	3378
问	3334
题	3325
现	3263
那	3204
如	3153
么	3124
没	3092
、	3051
话	3006
己	2963
过	2932
行	2893
年	2869
地	2869
还	2865
后	2854
解	2795
食	2716
看	2636
歌	2622
然	2499
活	2494
“	2483
法	2410
”	2398
品	2390
心	2348
情	2347
发	2319
应	2297
成	2259
果	2259
去	2231
事	2184
作	2172
常	2169
农	2162
代	2155
种	2119
女	2116
该	2104
最	2093
者	2092
些	2078
流	2056
用	2043
定	2031
里	2022
之	1993
少	1992
候	1906
当	1905
觉	1894
间	1890
从	1884
你	1882
经	1880
起	1849
健	1813
影	1810
面	1810
抽	1810
下	1810
天	1797
康	1794
认	1779
比	1779
长	1777
重	1777
出	1774
意	1766
做	1756
别	1747
响	1734
化	1733
越	1694
决	1679
曲	1678
吃	1673
着	1672
于	1667
公	1653
同	1648
小	1606
体	1606
给	1603
听	1602
身	1601
社	1595
开	1564
色	1543
知	1540
乐	1513
等	1504
产	1496
爱	1495
道	1493
理	1471
本	1466
习	1462
只	1461
高	1460
更	1458
什	1457
相	1424
绿	1423
感	1418
且	1417
力	1401
害	1395
教	1392
饿	1379
分	1376
前	1369
受	1345
死	1345
妈	1335
跟	1327
世	1325
老	1300
男	1293
？	1284
让	1276
物	1270
每	1263
关	1260
喜	1237
欢	1231
性	1192
点	1186
亲	1175
界	1137
其	1131
使	1102
处	1100
药	1093
第	1071
儿	1070
此	1069
或	1061
爸	1058
量	1048
日	1046
已	1041
非	1039
安	1038
外	1025
实	1019
场	988
无	978
工	975
境	956
提	952
共	951
西	948
才	947
友	944
语	943
环	939
考	937
动	931
边	929
与	925
难	925
病	919
东	915
文	912
识	910
把	904
利	902
各	898
度	893
她	891
两	885
展	883
变	865
况	861
朋	860
音	855
始	852
容	848
思	842
先	840
望	836
肥	834
进	832
育	825
虽	820
次	819
加	817
随	813
帮	807
沟	807
明	804
期	798
许	790
几	787
由	783
业	781
青	777
水	768
怎	762
师	762
真	759
观	742
助	738
它	737
呢	735
太	721
见	718
保	714
带	714
通	712
全	696
类	694
目	690
饥	688
任	688
特	687
校	681
政	667
苦	658
交	653
快	651
二	649
平	647
正	637
结	632
新	630
三	630
希	629
被	629
民	626
读	620
互	618
原	612
视	608
部	607
回	605
：	604
挨	602
接	595
再	593
市	593
总	593
反	586
虑	584
像	583
较	583
规	579
合	577
府	577
益	575
十	575
式	575
至	572
！	572
机	568
轻	568
书	565
又	558
游	557
易	557
班	555
庭	554
求	553
直	552
需	552
严	551
染	547
辈	546
念	544
并	539
走	537
象	535
谈	535
众	533
坏	533
养	532
